query,expectedCategory,gotCategory,expectedDenom,gotDenom,expectedDest,gotDest,resultCount,error,status,note
שניצל מהדרין ליד קרית שמונה,restaurant,restaurant,,,קרית שמונה,Kiryat Shmona,,,✅ OK?,לא נספר
מקום טוב לאכול בנס ציונה,restaurant,restaurant,,,נס ציונה,Ness Ziona,,,✅ OK?,לא נספר
מסעדה פרווה בטבריה,restaurant,restaurant,,,טבריה,Tiberias,,,✅ OK?,לא נספר
כשר,any,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה פרווה מהדרין פה,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
בית כנסת נוסח תימן ליד גרבה,synagogue,synagogue,teimanim,teimanim,ג׳רבה,Lod,,,✅ OK?,לא נספר
מסעדה מקסיקני בספרד,restaurant,restaurant,,,ספרד,Spain,,,✅ OK?,לא נספר
צרפת,destination,,,,צרפת,,,low_confidence,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
פסה מהדרין,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה טבעוני בנס ציונה פתוח עכשיו,restaurant,restaurant,,,נס ציונה,Ness Ziona,,,✅ OK?,לא נספר
בית כנסת מרוקאי בבאר שבע,synagogue,synagogue,sfarad,sfarad,באר שבע,Be'er Sheva,,,✅ OK?,לא נספר
אנטריקוט במיאמי,restaurant,restaurant,,,מיאמי,Miami,,,✅ OK?,לא נספר
לזניה שווה לידי,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
בית כנסת ספרדי,synagogue,synagogue,sfarad,sfarad,,Tel Aviv,,,✅ OK?,לא נספר
ראש העין,destination,minyan,,,ראש העין,Rosh HaAyin,,,✅ OK,minyan
בתי כנסת בבאר שעב,synagogue,synagogue,,,באר שבע,Be'er Sheva,,,✅ OK?,לא נספר
מניין נץ עדות המזרח כאן,minyan,minyan,sfarad,sfarad,,Tel Aviv,,,✅ OK,minyan
קרואסון יוקרתי גלא ליד גדרה,restaurant,restaurant,,,גדרה,Gedera,,,✅ OK?,לא נספר
מניין שחרית עדות המזרח בברלין,minyan,minyan,sfarad,sfarad,ברלין,Berlin,,,✅ OK,minyan
מניין נץ ליטאי במרוקו,minyan,minyan,ashkenaz,ashkenaz,מרוקו,Morocco,,,✅ OK,minyan
בית כנסת חב״ד בארו יהודה,synagogue,synagogue,chabad,chabad,אור יהודה,Be'er Sheva,,,✅ OK?,לא נספר
לוד,destination,destination,,,לוד,Lod,,,✅ OK,destination
מניין מנחה וערבית בניו יורק,minyan,minyan,,,ניו יורק,New York,,,✅ OK,minyan
מגדל העמק,destination,destination,,,מגדל העמק,Migdal HaEmek,,,✅ OK,destination
מחפש מנגל טוב במרקש,restaurant,restaurant,,,מרקש,Marrakech,,,✅ OK?,לא נספר
מעלה אדומים,destination,destination,,,מעלה אדומים,Ma'ale Adumim,,,✅ OK,destination
מסעדה איטלקי מהדרין בבאר שבע רומנטי,restaurant,restaurant,,,באר שבע,Be'er Sheva,,,✅ OK?,לא נספר
מקום טוב לאכול בברזיל,restaurant,restaurant,,,ברזיל,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מסעדה איטלקי רבנות באזור,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה צמחוני גלאט ליד פראג רומנטי,restaurant,restaurant,,,פראג,Prague,,,✅ OK?,לא נספר
בית כסנת,synagogue,synagogue,,,,Tel Aviv,,,✅ OK?,לא נספר
ליהנ לשבת לידי,hosting,hosting,,,,Vienna,,,✅ OK,hosting
מסעדה סיני בוינה פתוח עכשיו,restaurant,restaurant,,,וינה,Vienna,,,✅ OK?,לא נספר
מחפש טאקו טוב בחולון,restaurant,restaurant,,,חולון,Holon,,,✅ OK?,לא נספר
ארוחת ליל שבת בוינה,hosting,hosting,,,,Vienna,,,✅ OK,hosting
מסעדה איטלקי מומלץ גלאט בציריך,restaurant,restaurant,,,ציריך,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מסעדה אסייתי רבנות פה,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מה יש לאכול,any,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
קרואסון כאן,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה סיני ליד ניו יורק למשפחות,restaurant,restaurant,,,ניו יורק,New York,,,✅ OK?,לא נספר
מסעדה יפני שווה פה,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
קינוח בירושלים,restaurant,restaurant,,,ירושלים,Jerusalem,,,✅ OK?,לא נספר
בי כנסת ספרדי בהוד השרון,synagogue,synagogue,sfarad,sfarad,הוד השרון,Hod HaSharon,,,✅ OK?,לא נספר
מקסיקו סיטי,destination,minyan,,,מקסיקו סיטי,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מסעהד טבעוני בחדרה,restaurant,restaurant,,,חדרה,Hadera,,,✅ OK?,לא נספר
גלאט,any,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
חולון,destination,destination,,,חולון,Holon,,,✅ OK,destination
לזניה קרוב אליי,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
איטליה,destination,,,,איטליה,,,low_confidence,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
אירוח לשבת בבודפשט,hosting,hosting,,,,Budapest,,,✅ OK,hosting
קובה לא יקר גלאט ליד מילאנו,restaurant,restaurant,,,מילאנו,Lod,,,✅ OK?,לא נספר
שקשוקה בקפריסין לארוחת ערב,restaurant,restaurant,,,קפריסין,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מסעדה ים תיכוני ליד וינה,restaurant,restaurant,,,וינה,Vienna,,,✅ OK?,לא נספר
קרואסון רבנות ליד הים,restaurant,restaurant,,,,Lod,,,✅ OK?,לא נספר
סטייק רבנות בוינה,restaurant,restaurant,,,וינה,Vienna,,,✅ OK?,לא נספר
נס ציונה,destination,destination,,,נס ציונה,Ness Ziona,,,✅ OK,destination
קובה רבנות בנתניה,restaurant,restaurant,,,נתניה,Netanya,,,✅ OK?,לא נספר
מרק שווה גלאט בלוד,restaurant,restaurant,,,לוד,Lod,,,✅ OK?,לא נספר
מסעדה בשרי פה,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה איטלקי בד״ץ פתוח עכשיו,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
בית כנסת ליטאי קרוב אליי,synagogue,synagogue,ashkenaz,ashkenaz,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה פרווה גלאט ברמלה,restaurant,restaurant,,,רמלה,Ramla,,,✅ OK?,לא נספר
לזניה זול בראש העין,restaurant,restaurant,,,ראש העין,Rosh HaAyin,,,✅ OK?,לא נספר
מסעדה חלבי מהדרין בחיפה,restaurant,restaurant,,,חיפה,Haifa,,,✅ OK?,לא נספר
מסעהד סיני גלאט פה למשפחות,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה כשרה בטורונטו,restaurant,restaurant,,,טורונטו,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
זכרון יעקב,destination,destination,,,זכרון יעקב,Zichron Yaakov,,,✅ OK,destination
מחפש פרגית טב בחדרה,restaurant,restaurant,,,חדרה,Hadera,,,✅ OK?,לא נספר
מסעדה פרווה מהדרין ליד אנגליה,restaurant,restaurant,,,אנגליה,United Kingdom,,,✅ OK?,לא נספר
אירוח,any,hosting,,,,Tel Aviv,,,✅ OK,hosting
מסעדה יפני הכי וטב רבנות,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מניין מנחה וערבית ספרדי באזור,minyan,minyan,sfarad,sfarad,,Tel Aviv,,,✅ OK,minyan
קבב יוקרתי ליד ארה״ב,restaurant,restaurant,,,ארה״ב,Lod,,,✅ OK?,לא נספר
הוד השרון,destination,destination,,,הוד השרון,Hod HaSharon,,,✅ OK,destination
פרגית גלאט בטוקיו,restaurant,restaurant,,,טוקיו,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
ארוחת לי שבת בנס ציונה,hosting,hosting,,,נס ציונה,Ness Ziona,,,✅ OK,hosting
נודלס בברלצונה למשפחות,restaurant,restaurant,,,ברצלונה,Barcelona,,,✅ OK?,לא נספר
סטייק זול מהדרין ליד רעננה,restaurant,restaurant,,,רעננה,Ra'anana,,,✅ OK?,לא נספר
ניו יורק,destination,destination,,,ניו יורק,New York,,,✅ OK,destination
מסעדה טבעוני ליד,restaurant,restaurant,,,,Lod,,,✅ OK?,לא נספר
בלגיה,destination,,,,בלגיה,,,low_confidence,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מניין שחרית באשקלון,minyan,minyan,,,אשקלון,Ashkelon,,,✅ OK,minyan
יקנעם,destination,destination,,,יקנעם,Yokneam,,,✅ OK,destination
מסעדה ים תיכוני בבואנוס איירס,restaurant,restaurant,,,בואנוס איירס,Buenos Aires,,,✅ OK?,לא נספר
מניין נץ באור יהודה,minyan,minyan,,,אור יהודה,Or Yehuda,,,✅ OK,minyan
מחפש פרגית טוב בבנגקוק,restaurant,restaurant,,,בנגקוק,Bangkok,,,✅ OK?,לא נספר
בית כנסת ליד הרצליה,synagogue,synagogue,,,הרצליה,Herzliya,,,✅ OK?,לא נספר
בית כנסת שאמי בברלין,synagogue,synagogue,teimanim,teimanim,ברלין,Berlin,,,✅ OK?,לא נספר
מעורב ירושלמי מומלץ,restaurant,restaurant,,,,Jerusalem,,,✅ OK?,לא נספר
מסעדה בשרי רבנות באשקלון,restaurant,restaurant,,,אשקלון,Ashkelon,,,✅ OK?,לא נספר
אור יהודה,destination,destination,,,אור יהודה,Or Yehuda,,,✅ OK,destination
מניין שחרית במרוקו,minyan,minyan,,,מרוקו,Morocco,,,✅ OK,minyan
מחפש דיגם טוב באנטוורפן,restaurant,,,,אנטוורפן,,,low_confidence,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
חביתה בלוס אנג׳לס,restaurant,restaurant,,,לוס אנג׳לס,Los Angeles,,,✅ OK?,לא נספר
פראג,destination,destination,,,פראג,Prague,,,✅ OK,destination
בתי כנסת שאמי במרוקו,synagogue,synagogue,teimanim,teimanim,מרוקו,Morocco,,,✅ OK?,לא נספר
מקום טוב לאכול בטורונטו,restaurant,restaurant,,,טורונטו,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מסעדה בשרי שווה בד״ץ,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה אמריקא,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
בית כנסת תימני,synagogue,synagogue,teimanim,teimanim,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה מקסיקני פה,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מניין ערבית נוסח אשכנז לידי,minyan,minyan,ashkenaz,ashkenaz,,Tel Aviv,,,✅ OK,minyan
איפה אפשר לאכול מעורב ירושלמי בבת ים,restaurant,restaurant,,,בת ים,Bat Yam,,,✅ OK?,לא נספר
באר שבע,destination,restaurant,,,באר שבע,Be'er Sheva,,,✅ OK,restaurant
סלט רבנות בטורקיה,restaurant,restaurant,,,טורקיה,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
פסטה אבזור רומנטי,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
שקשוקה מהדרין ברעננה לארוחת בוקר,restaurant,restaurant,,,רעננה,Ra'anana,,,✅ OK?,לא נספר
טאקו ליד מדריד,restaurant,restaurant,,,מדריד,Lod,,,✅ OK?,לא נספר
מניין מוסף נוסח ספרד בג׳רבה,minyan,minyan,sfarad,sfarad,ג׳רבה,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
בית כנס חב״ד בראשון לציון,synagogue,synagogue,chabad,chabad,ראשון לציון,Rishon LeZion,,,✅ OK?,לא נספר
לינה לשבת ליד הבית,hosting,hosting,,,אתונה,Vienna,,,✅ OK,hosting
מסעדה פרווה בלוד,restaurant,restaurant,,,לוד,Lod,,,✅ OK?,לא נספר
מסעדה צמחוני זול בברצלונה,restaurant,restaurant,,,ברצלונה,Barcelona,,,✅ OK?,לא נספר
בית כנסת בלאדי בנהריה,synagogue,synagogue,teimanim,teimanim,נהריה,Nahariya,,,✅ OK?,לא נספר
מסעדה אמריקאי זול קרוב אליי עם ילדים,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
תל אביב,destination,restaurant,,,תל אביב,Tel Aviv,,,✅ OK,restaurant
מניין מנחה וערבית פה,minyan,minyan,,,,Tel Aviv,,,✅ OK,minyan
סטייק בראשון לציון,restaurant,restaurant,,,ראשון לציון,Rishon LeZion,,,✅ OK?,לא נספר
חומוס גלאט ליד יוון,restaurant,restaurant,,,יוון,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מסעדה פרווה שווה גלאט בטבריה,restaurant,restaurant,,,טבריה,Tiberias,,,✅ OK?,לא נספר
איפה אפשר לאכול ג׳חנון בהרצליה,restaurant,restaurant,,,הרצליה,Herzliya,,,✅ OK?,לא נספר
מסעדה מרוקאי שווה ליד אנטוורפן,restaurant,restaurant,,,אנטוורפן,Lod,,,✅ OK?,לא נספר
בתי כנסת נוסח אשכנז פה,synagogue,synagogue,ashkenaz,ashkenaz,,Tel Aviv,,,✅ OK?,לא נספר
מחפש פרגית טוב בניו יורק,restaurant,restaurant,,,ניו יורק,New York,,,✅ OK?,לא נספר
ארוחת שבת בטורקיה,hosting,hosting,,,טורקיה,,,destination_not_found,❌ NO_RESULT,destination_not_found
מסעדה פרווה בד״ץ באזור,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
סושי לא יקר ליד יוון,restaurant,restaurant,,,יוון,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מסעדה פרווה ליד הבית ליד הים,restaurant,restaurant,,,,Lod,,,✅ OK?,לא נספר
מסעדה תאילנדי הכי טוב רבנות בקזבלנקה,restaurant,restaurant,,,קזבלנקה,Thailand,,,✅ OK?,לא נספר
מניין נץ תימני,minyan,minyan,teimanim,teimanim,,Tel Aviv,,,✅ OK,minyan
אסאדו ליד ברלין,restaurant,restaurant,,,ברלין,Berlin,,,✅ OK?,לא נספר
אנטריקוט בירושלים רומנטי,restaurant,restaurant,,,ירושלים,Jerusalem,,,✅ OK?,לא נספר
שניצל קרוב אליי לארות בוקר,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה טורקי מומלץ,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה הודי ליד רעננה,restaurant,restaurant,,,רעננה,Ra'anana,,,✅ OK?,לא נספר
מניין ערבית בבית שמש,minyan,minyan,,,בית שמש,Beit Shemesh,,,✅ OK,minyan
אמסטרדם,destination,destination,,,אמסטרדם,Amsterdam,,,✅ OK,destination
בתי כנסת אשכנזי בבלגיה,synagogue,synagogue,ashkenaz,ashkenaz,בלגיה,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
וופל ליד קרית שמונה עם ילדים,restaurant,restaurant,,,קרית שמונה,Kiryat Shmona,,,✅ OK?,לא נספר
מניין מוסף באזור,minyan,minyan,,,,Tel Aviv,,,✅ OK,minyan
רעב,any,restaurant,,,,,,destination_not_found,⚠ VAGUE,עמום
מסעדה חלבי זול גלאט בארה״ב,restaurant,restaurant,,,ארה״ב,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מניין נץ ביבנה,minyan,minyan,,,יבנה,Yavne,,,✅ OK,minyan
בקלאווה מהדרין באילת,restaurant,restaurant,,,אילת,Eilat,,,✅ OK?,לא נספר
שניצל לא יקר בבואנו איירס,restaurant,restaurant,,,בואנוס איירס,Buenos Aires,,,✅ OK?,לא נספר
מניין ערבית אשמי בברלין,minyan,minyan,teimanim,,ברלין,Berlin,,,✅ OK,minyan
מסעדה צמחוני ליד ג׳רבה,restaurant,restaurant,,,ג׳רבה,Lod,,,✅ OK?,לא נספר
בית כנסת בנתניה,synagogue,synagogue,,,נתניה,Netanya,,,✅ OK?,לא נספר
ביגל זול למשפחות,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
בורקס יוקרתי רבנות ליד רמלה,restaurant,restaurant,,,רמלה,Ramla,,,✅ OK?,לא נספר
בית כנסת ליטאי ברמלה,synagogue,synagogue,ashkenaz,ashkenaz,רמלה,Ramla,,,✅ OK?,לא נספר
טורונטו,destination,,,,טורונטו,,,low_confidence,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
בית כנסת בלאדי ברעננה,synagogue,synagogue,teimanim,teimanim,רעננה,Ra'anana,,,✅ OK?,לא נספר
חביתה מומלץ רבנות ליד מונטריאול,restaurant,restaurant,,,מונטריאול,Montreal,,,✅ OK?,לא נספר
מסעדה בשרי יוקרתי רבנות בברצלונה,restaurant,restaurant,,,ברצלונה,Barcelona,,,✅ OK?,לא נספר
חביתה מומלץ,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
בית כנסת כאן,synagogue,synagogue,,,,Tel Aviv,,,✅ OK?,לא נספר
בית כנסת בוד,synagogue,synagogue,,,לוד,Lod,,,✅ OK?,לא נספר
יבת כנסת ספרדי בנאפולי,synagogue,synagogue,sfarad,sfarad,נאפולי,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
אנטריקוט לא יקר בלוס אנג׳לס ליד הים,restaurant,restaurant,,,לוס אנג׳לס,Los Angeles,,,✅ OK?,לא נספר
מסעדה חלבי בונציה,restaurant,restaurant,,,ונציה,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מסעדה טבעוני שווה,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה הודי בניו יורק,restaurant,restaurant,,,ניו יורק,New York,,,✅ OK?,לא נספר
מסעדה יפני בברצלונה,restaurant,restaurant,,,ברצלונה,Barcelona,,,✅ OK?,לא נספר
אנגליה,destination,,,,אנגליה,,,low_confidence,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
אירוח שבת בדימונה,hosting,hosting,,,,Dimona,,,✅ OK,hosting
בית כנסת בלאדי ברומא,synagogue,synagogue,teimanim,teimanim,רומא,Rome,,,✅ OK?,לא נספר
פורטוגל,destination,,,,פורטוגל,,,low_confidence,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מסעדה פרווה ליד הבית,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה תאילנדי,restaurant,restaurant,,,,Thailand,,,✅ OK?,לא נספר
מסעדה צמחונ באשקלון,restaurant,restaurant,,,אשקלון,Ashkelon,,,✅ OK?,לא נספר
ארוחת שבת בלוס אנג׳לס,hosting,hosting,,,לוס אנג׳לס,Los Angeles,,,✅ OK,hosting
בית כנסת ליטאי ליד בואנוס איירס,synagogue,synagogue,ashkenaz,ashkenaz,בואנוס איירס,Buenos Aires,,,✅ OK?,לא נספר
מסעדה טורקי הכי טוב באיטליה רומנטי,restaurant,restaurant,,,איטליה,Italy,,,✅ OK?,לא נספר
מניין מנחה וערבית בכפר סבא,minyan,minyan,,,כפר סבא,Kfar Saba,,,✅ OK,minyan
מניין מנחה נוסח תימן באיטליה,minyan,minyan,teimanim,teimanim,איטליה,Italy,,,✅ OK,minyan
בית כנסת ספרדי קרוב אליי,synagogue,synagogue,sfarad,sfarad,,Tel Aviv,,,✅ OK?,לא נספר
ארוחת שב באיטליה,hosting,hosting,,,איטליה,Italy,,,✅ OK,hosting
קובה מומלץ ליד מילאנו,restaurant,restaurant,,,מילאנו,Lod,,,✅ OK?,לא נספר
מסעדה תאילנדי זול רבנות קרוב אליי לארוחת ערב,restaurant,restaurant,,,,Thailand,,,✅ OK?,לא נספר
ברצלונה,destination,destination,,,ברצלונה,Barcelona,,,✅ OK,destination
מניין מנחה וערבי בזכרון יעקב,minyan,minyan,,,זכרון יעקב,Zichron Yaakov,,,✅ OK,minyan
מסעדה תאילנדי בלוד,restaurant,restaurant,,,לוד,Lod,,,✅ OK?,לא נספר
חיפה,destination,destination,,,חיפה,Haifa,,,✅ OK,destination
יבת כנסת,synagogue,synagogue,,,,,,destination_not_found,❌ NO_RESULT,destination_not_found
מניין מנחה וערבית באזור,minyan,minyan,,,,Tel Aviv,,,✅ OK,minyan
בית כנסת שאמי בהרצליה,synagogue,synagogue,teimanim,teimanim,הרצליה,Herzliya,,,✅ OK?,לא נספר
מסעדה אסייתי רבנות,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה פרווה מומלץ באזור ליד הים,restaurant,restaurant,,,,Lod,,,✅ OK?,לא נספר
מסעדה תאילנדי בג׳רבה למשפחות,restaurant,restaurant,,,ג׳רבה,Thailand,,,✅ OK?,לא נספר
מסעדה בשרי בלוס אנג׳לס,restaurant,restaurant,,,לוס אנג׳לס,Los Angeles,,,✅ OK?,לא נספר
אסאדו באזור,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה הודי בד״ץ,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה תימני,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מחפש שניצ טוב בהוד השרון,restaurant,restaurant,,,הוד השרון,Hod HaSharon,,,✅ OK?,לא נספר
מסעדה אסייתי שווה,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה כשרה ברמת השרון,restaurant,restaurant,,,רמת השרון,Ramat HaSharon,,,✅ OK?,לא נספר
בית כנסת ליטאי,synagogue,synagogue,ashkenaz,ashkenaz,,Tel Aviv,,,✅ OK?,לא נספר
פוקה בקזבלנקה,restaurant,restaurant,,,קזבלנקה,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מניין ערבית במעלה אדומים,minyan,minyan,,,מעלה אדומים,Ma'ale Adumim,,,✅ OK,minyan
מחפש סושי טוב בזכרון יעקב,restaurant,restaurant,,,זכרון יעקב,Zichron Yaakov,,,✅ OK?,לא נספר
מניין ערבית בבני ברק,minyan,minyan,,,בני ברק,Bnei Brak,,,✅ OK,minyan
מסעדה איטלקי הכי טוב בקנדה,restaurant,restaurant,,,קנדה,Canada,,,✅ OK?,לא נספר
מניין מנחה נוסח אשכנז ליד הבית,minyan,minyan,ashkenaz,ashkenaz,,Tel Aviv,,,✅ OK,minyan
ארוחת בשת בשדרות,hosting,hosting,,,שדרות,Sderot,,,✅ OK,hosting
סעודה שלישית פה,hosting,hosting,,,אשדוד,Tel Aviv,,,✅ OK,hosting
בתי כנסת חסידי במדריד,synagogue,synagogue,chabad,chabad,מדריד,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מניין מנחה באור יהודה,minyan,minyan,,,אור יהודה,Or Yehuda,,,✅ OK,minyan
בית כנסת תימני בירושלים,synagogue,synagogue,teimanim,teimanim,ירושלים,Jerusalem,,,✅ OK?,לא נספר
קרואסון באנטוורפן ליד הים,restaurant,restaurant,,,אנטוורפן,Lod,,,✅ OK?,לא נספר
בקלאווה ליד לוד,restaurant,restaurant,,,לוד,Lod,,,✅ OK?,לא נספר
פרגית יוקרתי רומנטי,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה סיני מהדרין בציריך,restaurant,restaurant,,,ציריך,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מלבי מומלץ מהדרין בכפר סבא למשפחות,restaurant,restaurant,,,כפר סבא,Kfar Saba,,,✅ OK?,לא נספר
מלבי באזור לארוחת בוקר,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה חלבי רבנות קרוב אליי,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
שקשוקה רבנות,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
שווארמה ליד ציריך,restaurant,restaurant,,,ציריך,Lod,,,✅ OK?,לא נספר
איפה אפשר לאכול,any,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מניין ערבית מרוקאי בלונדון,minyan,minyan,sfarad,sfarad,לונדון,London,,,✅ OK,minyan
ארגנטינה,destination,,,,ארגנטינה,,,low_confidence,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מסעדה ים תיכוני גלאט ליד הים,restaurant,restaurant,,,,Lod,,,✅ OK?,לא נספר
מניין מנחה וערבית שאמ בברצלונה,minyan,minyan,teimanim,,ברצלונה,Barcelona,,,✅ OK,minyan
מניין מנחה ליטאי פה,minyan,minyan,ashkenaz,ashkenaz,,Tel Aviv,,,✅ OK,minyan
מסעדה טבעוני,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
ניוקי בארה״ב,restaurant,restaurant,,,ארה״ב,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
פרגית כאן,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
ארוחת שבת ליד הבית,hosting,hosting,,,לונדון,Tel Aviv,,,✅ OK,hosting
מרוקו,destination,synagogue,,,מרוקו,Morocco,,,✅ OK,synagogue
מרק הכי טוב ליד בודפשט למשפחות,restaurant,restaurant,,,בודפשט,Budapest,,,✅ OK?,לא נספר
