name,city,country,address,phone,website,openingHours,kashrut,restaurantType,category,priceRange,notes,sourceUrl,scrapedAt
"מסעדת חנה  Hanna","Budapest","Hungary","Budapest, Kazinczy u. 29, 1074.טלפון:  T +3613421072","+3613421072","https://www.hannarestaurant.hu/he/shabbat","ראשון-חמישי 11:30 – 22:00, שישי 11:00 – 16:30.","מהדרין בהשגחת מערכת הכשרות CRC שע""י התאחדות הרבנים דארה""ב וקנדה.","meat","","€€","מסעדה מסורתית של אוכל יהודי ביתי כשרה למהדרין, באזור היהודי בבודפשט.לאחרונה שופץ המקום ונפתח מחדש.במקום מתקיימות סעודות שבת, להן נדרשת הזמנה מראש. מחיר סעודות שבת: 70 יורו.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/","2026-05-27T13:03:58.071Z"
"מסעדת כרמל  Carmel","Budapest","Hungary","31. Kazinczy St.","+36 1 3221834","","ראשון-חמישי 12:00 – 22:30, מטבח סוגר ב- 22:00.","מהדרין בהשגחת הרב ברוך אוברלנדר, חב""ד בודפשט.","meat","","€€","מסעדה בשרית כשרה המציעה מטבח קלאסי יהודי/הונגרי. מסעדת כרמל נמצאת באזור היהודי בבודפשט,ליד בית הכנסת קזניצי. יורדים אל אולם המסעדה הממוקם במפלס התחתון מתחת לקומת הקרקע, ונכנסים לאווירה אחרת. את האווירה מנעימה תזמורת ""כליזמרים"" אותנטית עם שירים יהודיים קלאסיים בסגנון ""לו הייתי רוטשילד"" וכד'.מנה מיוחדת: אל תפספסו את פלטת הבשרים המיוחדת!","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/","2026-05-27T13:03:58.071Z"
"פלאפל בר  Falafel Bar","Budapest","Hungary","Budapest, Wesselényi utca 30.","","","ראשון-חמישי 11:30 – 24:00.","מהדרין בהשגחת הרב ברוך אוברלנדר, חב""ד בודפשט.","meat","","","חנות פלאפל ומסעדת מזון מהיר מבית ""קפה תמר"". במקום מציעים מלבד מציעים פלאפל גם מנות בסגנון ים-תיכוני כמו שקשוקה, שווארמה כשרה ועוד.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/","2026-05-27T13:03:58.072Z"
"מסעדת מיטאפ  MeatUp","Budapest","Hungary","Budapest, Nagy Diófa u. 4.טלפון:  T +36203885453","+36203885453","","ראשון-חמישי 13:00-22:00.","מהדרין בהשגחת הרב ברוך אוברלנדר, חב""ד בודפשט.","meat","","€€","מסעדת מזון מהיר בשרית.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/","2026-05-27T13:03:58.072Z"
"זמיר דיינר בר","Budapest","Hungary","Dohány utca 54, Budapest","+36 20 272 6017וואטסאפ:  T +972 50 5311774","","שני-חמישי 17:00-22:00.","מהדרין בהשגחת הרב ברוך אוברלנדר, חב""ד בודפשט.","meat","","","חדש! מסעדה בשרית כשרה בבודפשט עם תפריט מגוון בסגנון דיינר אמריקאי. ניתן למצוא במקום גם סושי.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/","2026-05-27T13:03:58.072Z"
"מסעדת אשיז׳ Ashis","Budapest","Hungary","Budapest, Dob u. 5","+36 20 2983763","","ראשון-חמישי 12:00-2:00, מוצ""ש 20:45-2:00.","מהדרין בהשגחת הרב נחמיה רוטנברג.","meat","","€€","מסעדת סטריט-פוד בסגנון ישראלי. מציעה פלאפל, חומוס, שניצל, המבורגר ועוד.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/","2026-05-27T13:03:58.072Z"
"מסעדת קאצ'אפ Catchup","Budapest","Hungary","Budapest, Nagy Diófa u. 4, 1072.","+36 70 7541948","","ראשון-חמישי 13:00-22:00.","מהדרין בהשגחת הרב ברוך אוברלנדר, חב""ד בודפשט.","meat","","","מסעדה בסגנון אסיאתי נפתחה בבודפשט ממש בימים אלה (קיץ 2023). במקום מגישים מנות פרווה/צמחוני/דגים כמו כריכי באו, פוקי בול, פיש אנד צ'יפס ועוד.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/","2026-05-27T13:03:58.072Z"
"שייט בבודפשט","Budapest","Hungary","[map: https://maps.app.goo.gl/65B6ZaprFgE4xLUs5]","","","","","meat","","€","שייט על נהר הדנובה במחיר הכי זול ומשתלם שיש – 12 € בלבד!","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/","2026-05-27T13:03:58.072Z"
"אוטובוס אמפיבי בבודפשט - חוויה בים וביבשה","Budapest","Hungary","Budapest, Nagy Diófa u. [map: https://maps.app.goo.gl/E6nSAdgzeQyswk3Y7]","+36 30 1500150","https://www.tiqets.com/en/budapest-c68199/riverride-budapest-p975209?partner=metaylimbkipa","ראשון-חמישי 8:00-18:00, שישי 8:00-14:00.","מהדרין בהשגחת הרב ברוך אוברלנדר, חב""ד בודפשט.","meat","","","הדרך המהנה ביותר לחוות את בודפשט: אוטובוס שהופך לסירה!","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/","2026-05-27T13:03:58.072Z"
"קבוצת וואטסאפ לבודפשט - כל מה שתצטרכו לטיול הבא!","Budapest","Hungary","","","https://tinyurl.com/mr3vu7x6","","","meat","","","להצטרפות לקבוצת הוואטסאפ של בודפשט מבית ""מטיילים בכיפה"" פשוט לחצו כאן >","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/","2026-05-27T13:03:58.072Z"
"שייט בבודפשט","Budapest","Hungary","","","https://www.tiqets.com/en/things-to-do-in-budapest-c68199/tickets-for-budapest-sightseeing-cruise-p1032099/?partner=metaylimbkipa","",".במלון מרכז כושר, והוא נגיש לנכים.החדרים מפוארים, מרווחים וממוזגים וכוללים מיניבר וקומקום חשמלי.שירות אדיב. קרוב לתחבורה ציבורית.","meat","","€","אל תוותרו על שייט בבודפשט – חוויה מדהימה!","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/","2026-05-27T13:03:58.074Z"
"שאלות נפוצות לגבי מסעדות כשרות בבודפשט","Budapest","Hungary","","","https://chabadhungary.com/shabbat-meals/","","","meat","","","כן. במאפייה הכשרה UpTown מוכרים גם קיורטוש.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/","2026-05-27T13:03:58.074Z"
"קרעסטיר – מורשת הכנסת האורחים של רבי ישעיה'לה","Budapest","Hungary","","","https://easykoshertravel.com/kosher-restaurants-in-budapest/","","","meat","","","Kosher restaurants in Budapest in English You can find on Easy Kosher Travel website.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/","2026-05-27T13:03:58.075Z"
"13 תגובות","Budapest","Hungary","","","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/#comment-39552","","","meat","","","נסו ליצור קשר עם בית חב""ד בודפשט:
https://chabadhungary.com/","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/","2026-05-27T13:03:58.076Z"
"השארת תגובה","Budapest","Hungary","","","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/#respond","","","meat","","","Δ
document.getElementById( ""ak_js_1"" ).setAttribute( ""value"", ( new Date() ).getTime() );","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/","2026-05-27T13:03:58.076Z"
"מסעדות כשרות ברובע השמיני - מרכז פריז (שער הניצחון, שאנז אליזה)","Paris","France","225 Rue du Faubourg Saint-Honoré.","+33 1 45 722525","","ראשון: 9:00-17:00, שני-חמישי 8:00-17:30, שישי 8:00-16:00","מהדרין הרב כץ.","unknown","","€€","Le XXV – בית קפה כשר וקונדיטוריה ברמה גבוהה במרכז פריז. מציע מגוון מאפים צרפתיים כמו אקלרים ומקרונים, פיצות ואפילו סושי.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.562Z"
"שער הנצחון בפריז","Paris","France","26 Rue Jean Mermoz.","+33 1 42 890200","https://www.kavod.fr/","ראשון 19:30–22:15, שני-חמישי 12:15–14:15, 19:30–22:15","בית דין פריז.","unknown","","€€€","אחד הנופים היפים ביותר בפריז, נשקף משער הניצחון, אותו בנה נפוליאון (ולא זכה לראותו) בהשראת שערי הניצחון הגדולים של רומא העתיקה.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.563Z"
"בית האופרה גרנייה - כרטיס כניסה","Paris","France","","","https://www.tiqets.com/en/paris-attractions-c66746/tickets-for-opera-garnier-self-guided-tour-p974598/?partner=metaylimbkipa","","","unknown","","","מבנה ארמון האופרה יפהפה, ומומלץ בחום לכל מי שמגיע לפריז לבקר שם (נמצא ממש מעבר לכביש מול גאלרי לאפייט). התקרות הגבוהות והמרשימות עם הציורים ועיטורי הזהב, הנברשות, רצפת השייש, באמת קשה להכיל את כל היופי והפאר בארמון.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.563Z"
"מסעדות כשרות ברובע ה- 16 (גני טרוקדרו, יער בולון)","Paris","France","31 Av. Raymond Poincaré, Paris. [map: https://maps.app.goo.gl/fbhnwjvQzt8uDt3n7]","+33 9 67 013721","https://www.restaurant-unagi.fr/","ראשון-חמישי 7:30-19:30, שישי 7:30-15:00","בית דין פריז.","unknown","","€€","The Reserve – בית קפה וקונדיטוריה חלבי גורמה. מציע מגוון קינוחים מושחתים ומעולים, כריכים, גבינות ועוד. לרשת סניף נוסף ליד יער בולון.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.564Z"
"מסעדות כשרות ברובע השישי בפריז (גני לוקסמבורג)","Paris","France","66 Rue de Vaugirard.","+33 9 88 464554","https://metaylimbkipa.flymoney.com/","ראשון-חמישי 10:00-22:00, שישי 10:00-14:30.","בית דין פריז","unknown","","","מרסו Marceau Café – בית קפה מעולה ברובע השישי בפריז, אזור שאין בו כמעט אוכל כשר. תפריט עשיר עם מנות טעימות וטריות הכולל טוסטים, סלטים, פסטות ועוד. מתאים במיוחד לארוחת בוקר.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.564Z"
"מסעדות כשרות ברובע התשיעי (גאלרי לאפייט, האופרה, בית הכנסת הגדול)","Paris","France","17 Rue La Fayette, Paris.","+33 1 48 746031","https://www.byellaparis.com/","ראשון 12:00-16:00  18:30-23:00, שני-חמישי 12:00-15:00  18:30-23:00, שישי 12:00-15:00, מוצ""ש 19:30-23:30.","בית דין פריז","unknown","","","Il Palazzo – מסעדה חלבית איטלקית ברובע התשיעי. מציעה מגוון סוגי פסטות, פיצות, סלטים, טוסטים ועוד.מספקת גם שירות משלוחים.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.564Z"
"מסעדות כשרות ברובע ה- 11 בפריז (אזור הבסטיליה)","Paris","France","231 Bd Voltaire, 75011 Paris, France","+33143560330","https://www.123cacher.fr/restaurant/le-manhattan/carte.htm?utm_source=Google_Business","שלישי-שישי 9:00-17:00","בית דין פריז","unknown","","","Manhattan – מסעדה מזרחית בשרית. מציעה מגוון גדול של מנות קלאסיות ומסורתיות כמו קוסקוס, פקיילה ועוד. ניתן לקנות במקום מארזים מוכנים לשבת הכוללים גם חלות ויין לקידוש.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.564Z"
"מסעדות כשרות ברובע ה- 17 בפריז","Paris","France","675 Av. Niel, 75017 Paris. [map: https://maps.app.goo.gl/AKkyzKswcERv6ut38]","+33 178 901357","https://www.restaurantvicky.com/","ראשון-חמישי 10:00-17:00 19:30-22:30, שישי 10:00-15:00.","בית דין פריז","unknown","","","מרסו Marceau Café – בית קפה מעולה. תפריט עשיר עם מנות טעימות וטריות הכולל טוסטים, סלטים, פסטות ועוד. מתאים במיוחד לארוחת בוקר.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.565Z"
"מסעדות כשרות ברובע ה- 12 בפריז","Paris","France","158 Av. Daumesnil.","+33 1 43 471868T +33 1 84 83 11 33","https://www.restaurantlastella.com/","ראשון-חמישי ‏‏‏12:30-14:45 ‏‏19:30-23:00, מוצ""ש 19:30-23:30‏‏‏.","בית דין פריז, כל מוצרי החלב בהשגחת הרב זגבך – חלב ישראל.","dairy","","","La Stella – מסעדה חלבית איטלקית איכותית ברובע ה- 12. מגישה אנטיפסטי, פיצות, פסטה, סלטים – הכל תוצרת בית. מומלץ להזמין מקום.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.565Z"
"מסעדות כשרות ברובע ה- 19 בפריז","Paris","France","161 Rue Manin.","+33 1 42 450045","https://www.bozen.fr/","ראשון-חמישי ‏‏‏11:00-01:00, שישי 11:00-15:00, מוצ""ש 19:00-02:00‏‏‏.","מהדרין הרב כץ.","unknown","","€€","בוזן Bozen –  רשת מסעדות סושי מעולה עם כמה סניפים ברחבי פריז.מציעים שירות טייק-אווי ומשלוחים.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.565Z"
"מסעדות כשרות באזור לבלואה-פרה Levallois-Perret","Paris","France","25 Av. de l'Europe, 92300 Levallois-Perret.","+33 1 47 580073","https://www.restaurantlebazar.com/","ראשון-חמישי ‏‏‏12:00-14:30 19:30-23:00‏‏‏.","בית דין פריז.","unknown","","","לוולואה הוא מעין פרבר של פריז, באזור איל-דה-פרנס בצפון-מערב פריז, בו מתגוררים יהודים רבים.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.566Z"
"מסעדות כשרות באזור בולון-בילנקורט Boulogne-Billancourt","Paris","France","100 Av. Jean Baptiste Clement, 92100 Boulogne-Billancourt","+33 1 48 252844","https://www.etnikahn.com/","ראשון-חמישי ‏‏‏12:00-14:30 19:30-22:30, שישי ‏‏‏12:00-14:30, מוצ""ש 19:30-22:30.","בית דין פריז.","unknown","","","EtniKahn – מסעדה יוקרתית ומיוחדת עם מנות שף מרחבי העולם.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.566Z"
"המסעדות הכשרות הטובות ביותר בפריז","Paris","France","","","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/#hotels-9th","","","unknown","","","אז לסיכום, מהי המסעדה הכשרה הטובה ביותר בפריז?","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.566Z"
"מלונות כשרים ברובע התשיעי בפריז","Paris","France","","","https://www.booking.com/hotel/fr/aida-opera.he.html?aid=1221689&label=kosher-rest","","","unknown","","","מציע ארוחת בוקר עם מוצרים כשרים. קרוב לבית כנסת הגדול. אופציה למפתח שבת.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.566Z"
"מלונות מומלצים (לא כשרים) ברובע התשיעי בפריז","Paris","France","","","https://www.booking.com/hotel/fr/touraine-opera.he.html?aid=1221689&label=kosher-rest","","בסביבה יש שפע חנויות ומסעדות כשרות, המלון ממוקם במרחק כחמש דקות הליכה מבית הכנסת Buffault.","unknown","","","מלון טורן אופרה Hotel Touraine Opera – מלון 4 כוכבים מעולה ברובע התשיעי בפריז, 5 דקות הליכה מגאלרי לאפייט וליד תחנת מטרו.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.566Z"
"מלונות מומלצים באזור המארה - הרובע היהודי בפריז","Paris","France","","","https://www.booking.com/hotel/fr/grand-amelot-paris4.he.html?aid=1221689&label=kosher-rest","","","unknown","","","חדרים קטנים אבל נעימים וממוזגים עם כספת.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.567Z"
"מלונות מומלצים באזור השאנז אליזה, שער הניצחון ומגדל אייפל","Paris","France","","","https://www.booking.com/hotel/fr/belfast.he.html?aid=1221689&label=kosher-rest","","","unknown","","","מלון בלפסט Belfast – מלון טוב בלב פריז צמוד לשער הנצחון ולשאנז-אליזה, ובמרחק פחות מעשר דקות הליכה מבית חב""ד. המלון מתאים למשפחות. חלק מצוות המלון דובר עברית.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.567Z"
"דירות מומלצות ברובע ה- 17 בפריז","Paris","France","","","https://www.booking.com/hotel/fr/residence-palais-etoile.he.html?aid=1221689&label=kosher-rest","","","unknown","","","Résidence Palais Étoile – מלון דירות ברובע ה- 17 בפריז, אזור מרכזי ומאוכלס ביהודים רבים. נמצא במיקום מעולה, צמוד לתחנת מטרו ובמרחק כרבע שעה הליכה משער הניצחון.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.567Z"
"שאלות נפוצות לגבי מסעדות כשרות בפריז","Paris","France","","","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/#8th","","","unknown","","","אבל המסעדות הבאות נחשבות טובות במיוחד: בקטגוריה החלבית – מסעדת רוזטה, מרסו קפה, ובאגף הבשרי – מסעדת בשר, מסעדת כבוד, NOOBA, UNAGI","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.567Z"
"חופשה זוגית בפריז","Paris","France","","","https://easykoshertravel.com/kosher-restaurants-in-paris/","","","unknown","","","Kosher restaurants in Paris – kosher food by arrondissements in English, you can find on Easy Kosher Travel website.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.567Z"
"8 תגובות","Paris","France","","","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/#comment-39257","","","unknown","","","מאוד , מאוד מעניין יפה מאוד","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.569Z"
"השארת תגובה","Paris","France","","","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/#respond","","","unknown","","","Δ
document.getElementById( ""ak_js_1"" ).setAttribute( ""value"", ( new Date() ).getTime() );","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.569Z"
"רובנס קפה  Reubens Cafe & Bakery","London","UK","52 Baker St, London W1U 7BT","+44 20 81060202","","שני-חמישי 7:30-17:30, ראשון 9:00-17:30, שישי 7:30-17:30.","KF חלב ישראל","dairy","","","מסעדת רובנס הבשרית הותיקה פתחה לאחרונה (יוני 2024) סניף חלבי כשר מעבר לכביש ברחוב בייקר.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-london/","2026-05-27T13:04:09.748Z"
"Tony Page @ Island Grill","London","UK","26 Paddington St, London W1U 5QY.","+44 20 71398500","","ראשון 11:30-22:00 שני-חמישי 12:00-14:30, 18:00-22:00","בית דין לונדון KLBD.","unknown","","","מסעדה בשרית כשרה במרכז לונדון, בשכונת מרילבון, קרוב למוזיאון מדאם טוסו ולפארק ריג'נט.מציעים גם סעודת שבת ביום שישי בערב בתיאום מראש.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-london/","2026-05-27T13:04:09.748Z"
"מסעדת רובנס Reubens","London","UK","79 Baker St, London W1U 6RG.","+44 20 74860035","","ראשון-חמישי 11:30-22:00, שישי 11:30-14:00","KF (אפשרות לבשר חלק מהדרין).","meat","","","מסעדה בשרית איכותית המגישה אוכל יהודי ביתי. המחירים גבוהים יחסית בגלל המיקום האטרקטיבי (ממש ליד מוזיאון השעווה של מאדאם טוסו).","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-london/","2026-05-27T13:04:09.748Z"
"מסעדת מזל MAZAL - Original Shawarma","London","UK","Unit M192 2nd Floor, Hawley Wharf, Second Floor, London NW1 8AA.","+44 20 39511561","","ראשון-חמישי 11:30-22:00","KF","unknown","","","מסעדת מזון מהיר כשרה באזור קמדן, ממש באמצע קמדן מרקט. במקום מציעים אוכל מזרח-תיכוני כמו פלאפל, שווארמה כשרה, קבב, שיפודים ועוד.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-london/","2026-05-27T13:04:09.748Z"
"מצודת לונדון ותערוכת תכשיטי הכתר","London","UK","","+44 7453 816125","https://www.tiqets.com/en/london-attractions-c67458/tickets-for-tower-of-london-p974054/?partner=metaylimbkipa","","בית דין לונדון.","unknown","","","אל תפספסו ביקור במצודה – אחד האתרים המפורסמים ביותר של לונדון. היא כוללת את בית הכלא המפורסם, תערוכת תכשיטי הכתר המדהימה, מוזיאון לתולדות המצודה, בית הנשק של הנרי השמיני ועוד.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-london/","2026-05-27T13:04:09.749Z"
"חדש! Moss & Maple","London","UK","51 Fairfax Rd, London NW6 4EL. [map: https://maps.app.goo.gl/S9rtvdjTsAzrTwiM9]","+44 746 9839104","","ראשון-חמישי 18:00-21:00, שישי 9:00-14:00.","בית דין לונדון KLBD","unknown","","","מסעדה יוקרתית בשרית עם מטבח צרפתי-ים תיכוני, בניצוחו של השף אורי אברהם.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-london/","2026-05-27T13:04:09.749Z"
"Delicatessen","London","UK","46 Rosslyn Hill, London NW3 1NH","+44 20 77005511","","ראשון 12:00-23:00, שני-רביעי 17:00-23:00, חמישי 12:00-23:00, מוצ""ש 19:00-23:00.","בית דין לונדון KLBD","unknown","","","מסעדה בשרית יוקרתית בהמפסטד, עם מטבח מזרח-תיכוני מודרני. מומלץ להזמין מקום מראש.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-london/","2026-05-27T13:04:09.749Z"
