id,name_type,verdict,confidence,our_name,google_name,our_address,google_address,distance_m,reason
2535,unique,no,0.95,אדן אספרסו בר,Wine Bar by Andre Suidan,"אנדרי סחרוב 9, חיפה, Israel","HaNassi Blvd 98, Haifa, Israel",3208,"Different addresses (Andrei Sakharov St 9 vs HaNassi Blvd 98), different business types (espresso bar vs wine bar), 3.2km apart in same city, different names unrelated by translation"
6647,unique,yes,0.95,מאו סושי,MaO Sushi,"קרן היסוד 8, באר יעקב","Keren HaYesod St 8, Be'er Ya'akov, 7030708, Israel",1251,"Name matches (Hebrew-English translation: מאו סושי = MaO Sushi). Street and house number match exactly (קרן היסוד 8 = Keren HaYesod St 8, באר יעקב = Be'er Ya'akov). Large distance discrepancy (1251m) likely due to GPS error in our database, which is common for stored coordinates. Unique restaurant name type strengthens match."
4276,unique,yes,0.92,פצץ פצץ כשר בד״ץ,Pizza Pazzaz,"שד' עמק איילון 161, מרכז מסחרי שהם, שוהם, Israel","Sderot Emek Ayalon 161, Shoham, Israel",319,"Hebrew name 'פצץ פצץ' transliterates to 'Pizza Pazzaz' in Google. Identical street (Sderot Emek Ayalon) and house number (161) in Shoham. Distance of 319m likely due to coordinate precision differences, not address mismatch. Name translation confirms same business."
3607,unique,no,0.95,MEAT MEAT,Better Burger,"רוטשילד 77, פתח תקווה, Israel","Rothschild St 83, Petah Tikva, Israel",146,Different business names (MEAT MEAT vs Better Burger) with no translation/transliteration relationship. Different house numbers (77 vs 83) on same street. 146m distance is significant for same street. Unique name type suggests distinct businesses.
5869,unique,yes,0.95,מאנקי בורגר,מאנקי בורגר,"דרך הבנים 4, פרדס חנה-כרכור, Israel","Derech HaBanim 4, Pardes Hana-Karkur, Israel",258,"Identical business name (Monkey Burger), identical street address (Derech HaBanim/דרך הבנים 4), identical city (Pardes Hana-Karkur/פרדס חנה-כרכור). Distance of 258m is within acceptable geocoding error margin for the same address."
6013,unique,no,0.95,פיצה הירושלמית,שיר הפיצה,"הלל יפה 1, חדרה, Israel","HaGiborim St 47, Hadera, Israel",648,"Different business names (פיצה הירושלמית vs שיר הפיצה), different streets (הלל יפה vs HaGiborim), and 648m distance apart. While both are pizza places in Hadera, the address and name mismatch clearly indicates two separate businesses."
1749,chain,uncertain,0.45,בורגראנץ',בורגראנץ' סניף אילת,"המוצר 1, אילת, Israel","קניון הים האדום, Sderot HaTmarim 2, Eilat, Israel",1264,"Chain restaurant with same Hebrew name, but different addresses listed (המוצר 1 vs קניון הים האדום/Sderot HaTmarim 2). 1.3km distance is substantial. Could be relocated or our data outdated, but address mismatch prevents confident match."
5022,unique,no,0.95,פאלאס,Waldorf Astoria Jerusalem,"אגרון 26, ירושלים, Israel","Gershon Agron St 26-28, Jerusalem, 9419008, Israel",125,"Different business names with no translation/transliteration relationship ('פאלאס'=Palace vs Waldorf Astoria). While addresses are on the same street (Agron/Gershon Agron), they appear to be different establishments. The 125m distance and different house numbers (26 vs 26-28) suggest different locations, and the completely different business names indicate these are not the same place."
6277,unique,no,0.95,דורין אוכל ואהבה,Buy the Way,"עזרא 35, כפר סבא, Israel","Sderot Menachem Begin, Kfar Saba, Israel",4130,"Different business names (דורין אוכל ואהבה vs Buy the Way), different streets (עזרא vs Sderot Menachem Begin), and 4.1km distance. These are clearly separate businesses."
1672,unique,uncertain,0.45,באדה בום,באדה בום -Bada Boom,"אשדוד, Israel","Ha-Gdud ha-Ivri St 5, Ashdod, 7770089, Israel",1573,"Same unique name (Bada Boom), same city (Ashdod), but 1573m distance is significant. Our address lacks street details, making verification difficult. Could be same business with incomplete/incorrect coordinates, or different branches. Need street-level confirmation."
2942,unique,yes,0.95,קייטרינג מעדני מלך,קייטרינג מעדני מלך,"דרך יחיעם 7, נהריה, Israel","Derech Yehi'am 7, Nahariya, Israel",881,"Identical business name (קייטרינג מעדני מלך), same street (דרך יחיעם/Derech Yehi'am) and house number (7), same city (Nahariya/נהריה). The 881m distance discrepancy is likely due to coordinate imprecision in one database rather than different locations, given the perfect address match."
6927,unique,no,0.85,המשביע - דימונה,המשביע דימונה,"המלך דוד 70, דימונה","David HaMelech St 283, Dimona, 0860000, Israel",263,"Same business name and city, but house numbers differ significantly (70 vs 283 on same street). The 263m distance and large number difference suggest different locations, not just a coordinate error."
3188,unique,no,0.15,שומשום בר בריאות,בר שומשום,"דרך אבא הלל סילבר 2, מתחם הבורסה, רמת גן, Israel","Abba Hillel Silver Rd 6, Ramat Gan, Israel",2624,"Same street (Abba Hillel Silver Rd) and city (Ramat Gan), but house numbers differ significantly (2 vs 6). The 2.6km distance is too large to be the same location. While names are similar (שומשום/Shomshom), the distance and address mismatch rule out a match for a specific restaurant listing."
1922,unique,uncertain,0.35,קייטרינג בשמל,בשמל,"באר שבע, Israel","Dror St 22, Be'er Sheva, Israel",2909,"Name match (בשמל = Bashmol/catering), same city (Be'er Sheva), but 2.9km distance is substantial. 'Catering Bashmol' could be a catering business without fixed location, or a different branch. Need verification of exact street address for listing A."
4264,unique,no,0.95,הסנדווצ׳יה,סנדויץ בר בגט,"ירמיהו 43, חולון, Israel","HaPeled St 26, Holon, Israel",642,"Different streets (Yirmiyahu vs HaPeled), 642 meters apart, and different business names (הסנדווצ'יה vs סנדויץ בר בגט). Not a match despite both being sandwich-related businesses in Holon."
2288,unique,yes,0.85,קיסר מיט בר,מסעדת קיסר ראש פינה - Caesar Meat Bar - כשר למהדרין,"ראש פינה, Israel","Galil road 1, Rosh Pinna, Israel",606,"Name matches (קיסר מיט בר = Caesar Meat Bar), same city (Rosh Pinna/ראש פינה). Distance of 606m is significant but acceptable given that our stored coordinates are often inaccurate. The Google listing provides a specific street address (Galil road 1) while we only have city name, suggesting our location data was incomplete. The unique name and city match strongly indicate this is the same restaurant."
6967,unique,uncertain,0.45,פוקצ'ריה,פוקצ'ריה,"ז'בוטינסקי 72, פתח תקווה","הקניון הגדול 72, Jabotinsky St, Petah Tikva, Israel",2309,"Same business name (Poktsaria) in Petah Tikva on Jabotinsky St, but Google lists address at 'HaKanyon HaGadol' (The Grand Mall) while our listing shows just street address. The 2.3km distance is large, suggesting either our coordinates are wrong, Google's address is wrong, or these are different branches. Without clarification on whether this is a chain with multiple locations, cannot confirm as same place."
6188,unique,uncertain,0.45,טוסטביף,טוסטביף אם הדרך,"כפר ויתקין, Israel","Kfar Vitkin, Israel",839,"Same brand (Tostebif), same city (Kfar Vitkin), but 839m distance and different names (B adds 'Am HaDerech'). Could be different branches of same chain. Address mismatch prevents certainty."
5454,unique,no,0.95,אבו הלל,Abu Hilel,"באר טוביה, Israel","Ha-Biluyim St 13, Gedera, Israel",10072,"Different cities: our listing shows Be'er Tuviya while Google shows Gedera. Distance of 10km confirms these are separate locations. Despite name match (Abu Hilel/אבו הלל), the city mismatch is definitive."
5927,unique,yes,0.95,שולחן דוד,שולחן דוד,"שד' עובד בן עמי 10, נתניה, Israel","Sderot Oved Ben Ami 10, Netanya, Israel",25850,"Identical business name (שולחן דוד), same street (Sderot Oved Ben Ami / שד' עובד בן עמי), same house number (10), same city (Netanya/נתניה). The large distance_meters value appears to be a calculation error in the system, as the address components match perfectly. Name type is 'unique' which supports a single location match."
2525,unique,no,0.95,סאן סושי ונודלס,San Sushi Ashdod,"שדרות הנשיא בן צבי 1, נהריה, Israel","Ha-Gdud ha-Ivri St, Ashdod, Israel",141735,"Different cities (Nahariya vs Ashdod, 140km+ apart) and different street addresses. While both are 'San Sushi' branded restaurants, they are clearly separate locations in different municipalities."
4834,unique,yes,0.95,שניצל ג'ורדי,Jordi Schnitzel,"שד' יגאל אלון 6, בית שמש, Israel","Yig'al Alon Ave 6, Beit Shemesh, Israel",1051,"Names match (Hebrew 'שניצל ג'ורדי' = English 'Jordi Schnitzel'), identical street and house number (Yig'al Alon 6, Beit Shemesh). Large distance likely due to coordinate errors in our database, not a disqualifying factor given perfect address alignment."
3054,unique,yes,0.95,ניני צ'ו,Nini Choo,"הסיבים 18, פתח תקווה, Israel","Ha-Sivim St 18, Petah Tikva, 4959376, Israel",113,"Hebrew name 'ניני צ'ו' translates to 'Nini Choo'. Street names match (הסיבים = Ha-Sivim), house number 18 matches, city Petah Tikva matches. Distance of 113m is acceptable given coordinate variations. Unique restaurant name with consistent address details."
4403,unique,no,0.85,חומוס הבוטקה,Hummus Beit Ha-Ful,"החשמונאים 88, תל אביב, Israel","HaHashmonaim St 119, Tel Aviv-Yafo, Israel",225,"Same street (HaHashmonaim/החשמונאים) in Tel Aviv, but significantly different house numbers (88 vs 119) with 225m distance. Names are similar (both hummus-focused) but distinct. The house number difference is substantial and unlikely to be a mere database error for a unique restaurant."
3386,unique,uncertain,0.45,גולדות,Garden 83 - Beer & Burger,"רוטשילד 83, ראשון לציון, Israel","Rothschild St 83, Rishon LeZion, Israel",20,"Address and location match perfectly (Rothschild 83, Rishon LeZion), but Hebrew name 'גולדות' (Goldot/Gulot) doesn't translate to 'Garden 83 - Beer & Burger'. Could be a rebranding/name change, but the name difference is substantial enough to warrant caution despite the perfect address match."
3723,chain,no,0.95,cofix,אמות קניון קריית אונו,"הכלנית 17, קניון קרית אונו, Israel","Shlomo ha-Melekh St 37, Kiryat Ono, 5542133, Israel",84,"Different business names (Cofix vs Amot), different streets (Halklanit vs Shlomo ha-Melekh), different house numbers (17 vs 37). While both are in Kiryat Ono mall area, the address details don't match and these are distinct businesses."
5341,unique,no,0.95,עדן לכרמל,Eden Carmel,"אדניהו הכהן 5, ירושלים, Israel","17 פריגן מעלה אדומים, Ma'ale Adumim",10772,"Different cities (Jerusalem vs Ma'ale Adumim), different streets (Adoniyahu HaKohen vs Frigan), 10.7km apart. Despite matching name translation (Eden Carmel/עדן לכרמל), the locations are completely different."
2257,unique,yes,0.92,פלאפל הנשיא,פלאפל אורי-גושן 55 ק.מוצקין,"שדרות גושן 55, קריית מוצקין, Israel","Moshe Goshen Ave 55, Kiryat Motzkin, Israel",367,"Street address matches precisely (Goshen Ave 55, Kiryat Motzkin). Names both reference falafel with distinct identifiers ('President' vs 'Uri'). Distance of 367m likely due to coordinate inaccuracy in our database. The house number and street alignment strongly indicate same physical location."
2037,unique,no,0.95,קייטרינג תימני נאווה,CineMall,"שד' ההסתדרות 55, קניון סינמול, חיפה, Israel","HaHistadrut Ave 55, Haifa, Israel",4626,"Despite matching address (HaHistadrut 55, Haifa/Cinémol mall), the business names are completely different and unrelated. 'קייטרינג תימני נאווה' (Yemenite catering) is a specific food service business, while 'CineMall' is a cinema/mall. These are different businesses at the same location, not the same business."
5629,unique,yes,0.85,ערמונים,מסעדת ערמונים,"שדה יואב, Israel","Sde Yoav, 7935100, Israel",801,Names match (ערמונים = Armoniyim/Chestnuts restaurant); same city (שדה יואב = Sde Yoav); distance of 801m is reasonable for rural Israel address variance; stored coordinates often inaccurate
2830,unique,no,0.95,יאמי שווארמה,Shawarma brothers,"דרך יפו 196, בת גלים, חיפה, Israel","Jaffa Road 136, Haifa, Israel",220,"Different business names (יאמי שווארמה vs Shawarma brothers) and significantly different house numbers (196 vs 136) on same street. 220m distance is substantial. Name type is unique, not a chain/brand match."
3453,unique,no,0.95,קייטרינג לוטם,קייטרינג חלבי טעם וטקסטורה-בדץ העדה החרדית,"אילת 100, חולון, Israel","HaOrgim St 10, Holon, Israel",3267,"Different street addresses (Eilat 100 vs HaOrgim St 10) with 3.3km distance between them. Different business names - 'Lotam Catering' vs 'Taam VeTextura Catering'. While both are catering businesses in Holon, the significant distance and distinct addresses indicate separate physical locations."
6267,unique,yes,0.95,באקו סיטי,באקו סיטי נתניה,"גיבורי ישראל 17, יכין סנטר נתניה, נתניה, Israel","Sderot Giborei Israel 17, Netanya, Israel",22218,"Identical business name (Baku City), exact street match (Giborei Israel/Sderot Giborei Israel 17), same city (Netanya). Distance metric appears to be calculation error; street addresses are identical."
4342,unique,no,0.95,זותא פיצה,פיצה &פסטה פופולו חולון (כשר בד״ץ בית יוסף) -POPOLO HOLON,"צבי תדמור 12, חולון, Israel","Tzvi Tadmor 12, Holon, Israel",156,"Different business names: 'זותא פיצה' (Zuta Pizza) vs 'פופולו' (Popolo). Both are pizzerias at the same address, but distinct establishments. The distance of 156m suggests they may not be at the exact same location despite matching street/number."
7225,unique,yes,0.95,Frenchy Marche,Frenchy Tlv,"שינקין 54, תל אביב","Sheinkin St 54, Tel Aviv-Yafo, 6713212, Israel",1937,"Same street (Sheinkin/שינקין) and house number (54) in Tel Aviv. 'Frenchy Marche' and 'Frenchy Tlv' are clearly the same business (Frenchy is the unique brand name, 'Marche' is French for market, 'Tlv' is Tel Aviv abbreviation). The 1937m distance is likely due to coordinate errors in our database, not an actual location difference. Address match is precise."
4765,unique,no,0.95,מגש הפיצה,Pizza Italiano,"קידרון 10, גבעת זאב, Israel","מתחם תחנת דלק גבעונים, Giv'at Ze'ev",153921,"Different business names (מגש הפיצה vs Pizza Italiano), different streets (Kidron vs gas station complex), and extremely large distance (153km+) indicate these are not the same business."
2854,unique,uncertain,0.45,מסעדת TOWER מסעדת בשרים,מסעדת טאוור - TOWER,"חיפה, Israel","Herzl St 63, Haifa, Israel",1272,"Same business name (TOWER steakhouse) and city (Haifa), but 1.3km distance is significant. Our address lacks street details, so cannot verify if both refer to same location or if TOWER has multiple branches."
6201,unique,no,0.85,Food Story,Ha-Prakhim St 68,"הפרחים 68, ניצני עוז, Israel","Ha-Prakhim St 68, Nitzanei Oz, Israel",246,"Google's 'name' is just a street address (Ha-Prakhim St 68), not an actual business name. This violates the matching criteria for business listings. While the addresses correspond (הפרחים 68 = Ha-Prakhim St 68), Google Places entry appears to be a location point rather than a business listing."
4286,unique,no,0.85,אמ'ס קיטשן,Weizmann St 1,"ויצמן 1, תל אביב, Israel","Weizmann St 1, Tel Aviv-Yafo, Israel",223,"Google listing 'Weizmann St 1' is just a street address with no business name, not an actual business listing. Amy's Kitchen (אמ'ס קיטשן) is a named restaurant that should have a proper business name in Google Places, not just an address placeholder."
5363,chain,yes,0.95,פיצה שמש,Pizza Shemesh,"דרך יצחק רבין 15, בית שמש, Israel","Derech Yitshak Rabin 15, Beit Shemesh, Israel",1263,"Name matches (Hebrew-English translation: פיצה שמש = Pizza Shemesh). Street and house number identical (Derech Yitshak Rabin 15, Beit Shemesh). Large distance discrepancy (1263m) likely due to GPS error in our database, but street address match is definitive."
1631,unique,no,0.95,טאג'ין,וולטר פארק,"האורגים 22, נמל אשדוד, Israel","HaOrgim St 2, Ashdod, Israel",60,"Different business names (טאג'ין vs וולטר פארק) with no translation/transliteration relationship. While both are on HaOrgim St in Ashdod, the distinct names and different house numbers (22 vs 2) indicate separate businesses."
5568,unique,yes,0.95,פביוס פיצה,פיצה פביוס יבנה Fabios Pizza Yavne,"שד' דואני 20, מרכז מסחרי לב יבנה, Israel","מרכז מסחרי לב, שדרות דואני 20, יבנה, 81551, Israel",23931,"Name matches (פביוס/Fabios - same business), street and house number identical (שד' דואני 20), same shopping center (לב יבנה/Lev Yavne), same city (יבנה). Large distance_meters likely due to coordinate error in our database, not address mismatch."
7009,unique,yes,0.95,WayCup Coffee מקווה ישראל,WayCup Coffee,"מקווה ישראל 17, תל אביב","Mikve Israel St 17, Tel Aviv-Yafo, Israel",2533,"Same unique business name (WayCup Coffee), same street (Mikve Israel/מקווה ישראל) and house number (17), same city (Tel Aviv). Large distance discrepancy likely due to coordinate error in our database, not address mismatch."
3768,unique,yes,0.95,פיצה פצץ,פיצה פצץ,"חיים בר לב 10, אור יהודה, Israel","جادة حييم بر لف 10 يهود، Or Yehuda, Israel",283,"Identical business name (פיצה פצץ), same street (חיים בר לב/حييم بر لف - Arabic transliteration of Hebrew), same house number (10), same city (Or Yehuda/אור יהודה). Distance of 283m is acceptable given coordinate imprecision. Unique name type reduces false-positive risk."
4194,unique,no,0.92,פיצה הקוסם האיטלקי,פיצה הקוסם האיטלקי פיצריה בבת ים,"הרצל 48, בת ים, Israel","Derech Ben Gurion 79, Bat Yam, Israel",548,"Different streets (Herzel 48 vs. Ben Gurion 79) in Bat Yam with 548m distance. Same name suggests it could be a relocated branch, but street+number mismatch is significant for a specific business location."
7187,unique,yes,0.95,פלאג אין רמת ישי,Plugin,"האקליפטוס 3, רמת ישי","Ekaliptus St 3, Ramat Yishai, Israel",1155,"Name matches (פלאג אין = Plugin), street name matches (האקליפטוס = Ekaliptus), house number 3 matches. Large distance metric likely due to coordinate error in our database, but street+number+city alignment is clear."
5466,unique,uncertain,0.45,אורו,אורו,"גאליה, Israel","Ge'alya, Israel",947,"Same name (Oro) and city (Ge'alya/גאליה), but 947m distance is significant. No street/house numbers provided to verify. Could be same business with location data error, or different branches. Need more specific address details."
6939,unique,uncertain,0.35,אופיר בסט - רמות,פיצה פלאפל אופיר בסט,"המשורר אצ""ג 2, ירושלים","Ha Meshorer Azag St 3, Jerusalem",6388,"Same brand name (אופיר בסט/Ofir Best) and same street (Ha Meshorer Azag), but house numbers differ (2 vs 3) and distance is large (6.4km). This could be two branches of the same chain, or a data error. Street/brand alignment suggests possible match, but address discrepancy is significant."
6467,unique,yes,0.95,Babbi's,BABBI'S,"הבנאים 3, אשדוד","HaBana'im St 3, Ashdod, Israel",1032,"Identical unique business name (Babbi's), same street (HaBana'im/הבנאים), same house number (3), and same city (Ashdod). The 1032m distance is likely due to coordinate geocoding error in our database, not a different location. Street and address match clearly."
6812,unique,yes,0.95,פיצה רג'ינה,פיצה רג'ינה regina pizza,"הרצל 3, גדרה","Herzl St 3, Gedera, 7040002, Israel",844,"Identical business name (פיצה רג'ינה = Regina Pizza), matching street (Herzl/הרצל) and house number (3), same city (Gedera/גדרה). The 844m distance is likely due to coordinate inaccuracy in our database, not actual location mismatch. Street and address details align perfectly."
4879,unique,no,0.95,דני במדבר,Danny's Farm,"סוסיא, Israel","Hahita St 7, Sitria, Israel",26522,"Listings are in completely different locations: Susia vs Sitria (26.5km apart). Despite potential name translation match ('Dani' = 'Danny'), the geographic distance and different settlement names indicate these are separate businesses."
6819,unique,yes,0.95,BIGA טבעון,Biga,"האלונים 85, טבעון","Alonim St 85, Kiryat Tiv'on, Israel",2715,"Same business name (BIGA), same street (האלונים = Alonim St), same house number (85), same city (טבעון = Kiryat Tiv'on). Large distance metric likely due to coordinate system differences, not actual location mismatch."
6663,unique,yes,0.95,Burgers Bar תלפיות,Burgers Bar,"האומן 14, ירושלים","HaUman St 14, Jerusalem, 9342109, Israel",1993,"Same business name (Burgers Bar), identical street address (HaUman St 14 / האומן 14) and city (Jerusalem/ירושלים). The 1993m distance is an artifact of coordinate calculation error, not a real location mismatch. The postal code and full address match confirms this is the same physical location."
1934,unique,yes,0.95,בלחמניה,Big Eilat,"הסתת 20, ביג אילת, Israel","Ha-Satat St 20, Eilat, Israel",20,"Hebrew name 'בלחמניה' (bakery) matches Google's 'Big Eilat' as business at same address (Ha-Satat St 20, Eilat). Identical street and house number, minimal distance variance. Different names suggest either rebranding or alternate trading names for same location."
2161,unique,yes,0.95,פיצה טורינו,Torino Pizza,"שד' הנשיא 121, חיפה, Israel","HaNassi Blvd 121, Haifa, Israel",33569,Name matches (פיצה טורינו = Torino Pizza - Hebrew to English translation). Street and house number identical (שד' הנשיא 121 = HaNassi Blvd 121). City matches (חיפה = Haifa). Large distance_meters value appears to be a data error; actual coordinates align on same street at same house number.
4407,unique,uncertain,0.55,שופרא רומה,שופרא רומה,"ויצמן 17, יהוד, Israel","Weizman St 13, Yehud-Monosson, Israel",342,"Name matches exactly (Shofra Roma), street matches (Weizman/ויצמן), city matches (Yehud/יהוד). However, house numbers differ significantly (17 vs 13) and distance is 342 meters. While our stored coordinates can be inaccurate, a 4-unit house number difference on the same street is notable. Could be same business relocated, or different locations of same establishment."
2264,unique,no,0.95,בום בורגר,קפטן cook,"יוחנן בן זכאי 7, טבריה, Israel","Sderot Sapir, Tverya, Israel",1819,"Different business names (Boom Burger vs Captain Cook), different streets (Yohanan Ben Zakkai vs Sderot Sapir), 1.8km apart in Tiberias. No reasonable translation/transliteration match."
5565,unique,no,0.85,פיצה יו-יו,Pizza Yoyo,"עובדיה 1, יד בנימין, Israel","מרכז מסחרי, הושע 1, יד בנימין, Israel",344,"Different streets (Ovadia vs Hosea) and different building types (direct address vs commercial center). 344m distance is significant for same location. While name matches perfectly (Pizza Yoyo/פיצה יו-יו), the addresses clearly differ."
3321,unique,no,0.85,מהמטבח של חני,Yehuda Halevi St 49,"יהודה הלוי 49, גבעת שמואל, Israel","Yehuda Halevi St 49, Giv'at Shmuel, Israel",88,"Google listing has no business name, only a street address. This does not constitute a proper business match, regardless of address alignment. Listing A is 'מהמטבח של חני' (From Chani's Kitchen), but B shows no business name."
3024,unique,yes,0.92,מסעדת אמא,Mother Restaurant,"רחבעם גנדי זאבי 5, בית שאן, Israel","רחבעם זאבי 5, Beit She'an, Israel",609,"Name match (אמא=Mother), same street (רחבעם זאבי/Rachabam Zabi) and house number (5), same city (Beit She'an). Address variations are minor (גנדי omitted in Google, transliteration differences). Distance of 609m likely due to coordinate inaccuracy, not actual location difference."
2526,chain,no,0.85,cofix,10fix nahariya,"שד' הגעתון 20, נהריה, Israel","Herzl St 65, Nahariyya, 2240015, Israel",228,"Different streets (Hagaaton vs Herzl) and different house numbers (20 vs 65) in Nahariya. While both are coffee chains, the address mismatch is too significant to confirm same location. '10fix' is also a different brand than 'cofix'."
