id,name,dest,country,address,kosher_certified,source_quality,confidence,certifying_body,evidence,source_url,friReason,satReason
6510,טגלוס,Karmiel,Israel,"מתחם גן העיר, כרמיאל",no,directory,0.85,,"חיפוש בפלטפורמות רישום מסעדות, מדיה חברתית וטבלאות כשרות לא הביא כל אזכור של הסמכה כשרה עבור טגלוס בכרמיאל. המסעדה מזוהה ככל-נתינות 'ביסטרו בר' ללא הצהרת כשרות.",https://www.instagram.com/tagalos_karmiel/,פתוח עד 11:00 PM בערב שישי (אחרי 21:00),פתוח 9:00 AM–10:30 PM בשבת (חופף ל-08:00–16:00)
3688,חומוס כספי,Kfar Saba,Israel,"יהודה המכבי 61, תל אביב, Israel",no,directory,0.85,,לא קיימת תעודת כשרות במקום זה. סניף זה שונה מסניף בן יהודה שכן הוא מאושר,https://easy.co.il/page/26384961,,פתוח 10:30 AM–3:00 PM בשבת (חופף ל-08:00–16:00)
2435,פיצה מייקר,Kiryat Ata,Israel,"סוקולוב 40, קרית אתא, Israel",yes,official,0.95,רבנות קרית אתא מהדרין,מסעדה זו מופיעה בכושרות (אתר ייעוץ רשמי בכשרות) עם פרטי המשגיח ורבנות קרית אתא מהדרין. כמו כן מופיעה ברשימות מסעדות כשרות למהדרין בקרית אתא.,https://www.kosharot.co.il/index2.php?id=420439&lang=HEB,,פתוח 12:00 PM–12:00 AM בשבת (חופף ל-08:00–16:00)
1313,פיצה סופיה,Kiryat Gat,Israel,"אמציה, Israel",unclear,none,0.3,,הדף בפייסבוק טוען 'כשר למהדרין' אך אין תעודת כשרות רשמית שניתן לאמת ממרשם של הרבנות או גוף הסמכה מוכר,https://www.facebook.com/100063975400378/,פתוח עד 12:00 AM בערב שישי (אחרי 21:00),פתוח 2:23 PM–12:00 AM בשבת (חופף ל-08:00–16:00)
1870,הקוסקוס של רותם,Kiryat Gat,Israel,"דרך הדרום 9, קריית גת, Israel",unclear,directory,0.3,,"ספריות כשר מינומלוים מסמנות את המסעדה ככשרה, אך מקור אחר מודיע שהמסעדה פתוחה בשבת ולכן אין לה תעודה רשמית. לא נמצאה אישור רשמי מרבנות.",https://www.rest.co.il/kosher-restaurants/kiryat-gat/kosher/,פתוח 24 שעות (כולל כניסת שבת),פתוח 24 שעות בשבת
4672,קולינאריק,Kiryat Ono,Israel,"המייסדים 3, קריית אונו, Israel",unclear,directory,0.5,,"קולינאריק בקריית אונו רשום כ'כשר' בתיקיות אתרים שונות (rest.co.il), אך לא נמצאה תעודת כשרות רשמית מהרבנות המקומית או גוף כשרות מוכר",https://www.rest.co.il/kosher-restaurants/kiryat-ono/kosher/,,פתוח 9:00 AM–6:00 PM בשבת (חופף ל-08:00–16:00)
2837,בית האוכל של מושיקו,Kiryat Shmona,Israel,"קריית שמונה, Israel",unclear,directory,0.6,"Rabbanut (presumed, unconfirmed)","רשומה בספריות מסעדות כשרות בקריית שמונה, אך ללא גישה לבדיקה ישירה במסד הנתונים של הרבנות הראשית",https://www.rest.co.il/rest/80150087/,,פתוח 11:00 AM–4:53 PM בשבת (חופף ל-08:00–16:00)
3206,בונז'ור מלך השווארמה,Lod,Israel,"הרצל 64, לוד, Israel",unclear,directory,0.35,,"מסעדה מופיעה בספריות אתרים מקוונים כמסעדה כשרה, אך לא נמצא תעודת הכשרות רשמית מהרבנות או רשם הכשרות",https://www.rest.co.il/rest/80291896/,,פתוח 8:00 AM–8:00 PM בשבת (חופף ל-08:00–16:00)
6751,בייגל קפה מבשרת,Mevaseret Zion,Israel,"קניון הראל, מבשרת ציון",yes,directory,0.85,Mevaseret Zion Rabbinate (רבנות מבשרת ציון),צוין בתיקייה בעמוד Wolt כ'כשר מהדרין ברבנות מבשרת ציון'. בייגל קפה ברשת מפוקחת תחת רבנויות מקומיות,https://wolt.com/en/isr/mevaseret-zion-area/restaurant/bagel-cafe-mevaseret,פתוח עד 9:30 PM בערב שישי (אחרי 21:00),
3507,ג'פניקה,Modiin,Israel,"לב העיר 2, מודיעין והסביבה, Israel",unclear,directory,0.4,,"מילונים ועסקיים מציינים 'כשר', אך לא נמצאה הסמכה רשמית מגוף הסמכה מוכר",https://www.rest.co.il/rest/80224360/ | https://www.2eat.co.il/restaurant.aspx?restid=24263,פתוח עד 12:00 AM בערב שישי (אחרי 21:00),פתוח 12:00 PM–12:00 AM בשבת (חופף ל-08:00–16:00)
2494,סחבק,Nahariya,Israel,"שד' הגעתון 20, נהריה, Israel",unclear,directory,0.6,Rabbanut Nahariya (Local Rabbanut),"מספר ספרי כשרות צד-שלישי מפרטים את סחבק בכתובת זו כמוקד כשר תחת השגחת רבנות מקומית, אך לא אתי מסוגל לאמת ישירות מתוך מסמכים רשמיים של הרבנות",https://www.tjt.co.il/%D7%90%D7%95%D7%9B%D7%9C_%D7%9B%D7%A9%D7%A8-TE53090-%D7%A1%D7%97%D7%91%D7%A7-%D7%94%D7%9E%D7%9C%D7%A6%D7%95%D7%AA-%D7%A0%D7%94%D7%A8%D7%99%D7%94_%D7%99%D7%A9%D7%A8%D7%90%D7%9C.html,פתוח עד 10:30 PM בערב שישי (אחרי 21:00),
6678,BBB נהריה,Nahariya,Israel,"ויצמן 71, נהריה",no,official,0.95,,הושולחן מציין במפורש 'לא כשר'. המסעדה אינה מצויינת בשום רישום רשמי של הרבנות נהריה כמסעדה מתוקנת.,https://www.hashulchan.co.il/restaurant/bbb-%D7%A0%D7%94%D7%A8%D7%99%D7%94/,פתוח עד 12:00 AM בערב שישי (אחרי 21:00),פתוח 12:00 PM–12:00 AM בשבת (חופף ל-08:00–16:00)
6773,איבן בית מאפה,Ness Ziona,Israel,"הסנונית 18, נס ציונה",no,directory,0.95,,"מקור מהודר, TikTok, מציין בעדויות בנוגע לסנונית 18, נס ציונה: 'לא כשרים'",https://www.tiktok.com/discover/%D7%91%D7%99%D7%AA-%D7%A7%D7%A4%D7%94-%D7%91%D7%A0%D7%A1-%D7%A6%D7%99%D7%95%D7%A0%D7%94,,פתוח 8:00 AM–2:00 PM בשבת (חופף ל-08:00–16:00)
3232,מקדונלד'ס,Netanya,Israel,"נחלת יצחק 20, תל אביב, Israel",yes,official,0.85,Rabbanut (Local Tel Aviv Municipality Rabbinate),"מקדונלד'ס בנחלת יצחק 20, תל אביב מסומנת כ'כשר' בموקע הרשמי של מקדונלד'ס ישראל, עם שעות פתיחה בשבת והחגים (אינדיקציה חזקה להכשרה רבנית). המקום נשמר על ידי הרבנות המקומית.",https://www.mcdonalds.co.il/,,פתוח 11:00 AM–10:00 PM בשבת (חופף ל-08:00–16:00)
5903,צ'יקו,Netanya,Israel,"דרך דגניה 14, נתניה, Israel",unclear,directory,0.3,,"צ'יקו רשום כמסעדת בשרים בכתובת זו בדירוג מסעדות, אך לא נמצאה תעודת כשרות רשמית מגורם כשרות מוכר. הכתובת דרך דגניה 14 משויכת לנתי פיתה שיש לה תעודה רשמית.",https://www.rest.co.il/rest/80226585/,פתוח 24 שעות (כולל כניסת שבת),
7170,Jorno בייקרי נתניה,Netanya,Israel,"קהילת צפת 1, נתניה",no,none,0.85,,לא נמצאה תעודת כשרות רשמית של רשות כשרות כלשהי. הרשומות מציגות מאפייה צרפתית שמופעלת בשבת ללא הנוכחות של תו כשרות או הערות בנידון בחשבונות רשתיים או מדלים.,,,פתוח 7:00 AM–9:00 PM בשבת (חופף ל-08:00–16:00)
3330,בורגרים,Petah Tikva,Israel,"בן ציון גליס 30, B סנטר פתח תקווה, Israel",unclear,directory,0.55,,רשומה בספריות קוסקר כ'כשר' אך לא נמצא תעודה רשמית מגוף כשרות מוסמך עבור הסניף הספציפי הזה. יתכן שהרשתה משתמשת בבשר כשר מהדרין אך לא כל הסניפים בעלי הסמכה רשמית.,,,פתוח 9:00 AM–5:00 PM בשבת (חופף ל-08:00–16:00)
5791,פיצה פארטי,Ra'anana,Israel,"ביל""ו 21, רעננה, Israel",unclear,directory,0.4,,"ספריות מסעדות ישראליות מציינות כשר, אך לא נמצאה אישור רשמי מגוף הסמכה לכשרות",https://www.rest.co.il/restaurants/raanana/pizza/,,פתוח 8:00 AM–7:00 PM בשבת (חופף ל-08:00–16:00)
3189,קפה לוגאנו,Ramat Gan,Israel,"החוגה 2, רמת אפעל, Israel",yes,official,0.95,Rabbanut Mehadrin Ramat Gan,"מסעדת קפה לוגאנו בהחוגה 2, רמת גן מוסמכת כשר למהדרין על ידי רבנות מהדרין רמת גן. התעודה מופיעה באתר סמכותי של מסעדות מהדרין ובמספר משפחות אתרים רשמיים המייחסים את הכשרות לרבנות המהדרין של רמת גן.",https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A7%D7%A4%D7%94-%D7%9C%D7%95%D7%92%D7%90%D7%A0%D7%95,פתוח עד 11:00 PM בערב שישי (אחרי 21:00),
3302,הדרים קייטרינג,Ramat Gan,Israel,"זיסמן שלום 14, מתחם הבורסה, רמת גן, Israel",unclear,directory,0.4,,"מופיע בספריות מסעדות כושרות של צד שלישי כ'כשר' בכתובת המדויקת, אך לא נמצאה תעודת כשרות רשמית מהרבנות או גוף הסמכה מוכר.",https://www.rest.co.il/restaurants/ramat-gan/catering/,פתוח 24 שעות (כולל כניסת שבת),פתוח 9:00 AM–5:00 PM בשבת (חופף ל-08:00–16:00)
3410,מפגש בר,Ramat Gan,Israel,"תובל 16, מתחם הבורסה, רמת גן, Israel",yes,directory,0.85,Ramat Gan Rabbinate (הרבנות רמת גן),מפגש בר לין בתובל 16 רמת גן מתחם הבורסה מתועדת עם תעודת כשרות מטעם הרבנות רמת גן,https://il.top10place.com/--72754340.html,,פתוח 8:00 AM–12:00 AM בשבת (חופף ל-08:00–16:00)
4268,פיצה קראסט,Ramat Gan,Israel,"קריניצי 12, רמת גן, Israel",unclear,directory,0.3,,"מספר אתרי עסקים (Rest.co.il, Freepost) רשמו את המקום כ'כשר', אך אלו מקורות של צד שלישי בלבד ולא תעודות רשמיות. לא הצלחתי להגיע לתעודת הכשרות הרשמית מהרבנות רמת גן או משרד השירותים הדתיים.",https://www.rest.co.il/rest/80315730/,,פתוח 11:00 AM–12:00 AM בשבת (חופף ל-08:00–16:00)
3130,מאנצ'י טוסט,Ramla,Israel,"אבא אחימאיר 15, רמלה, Israel",yes,directory,0.85,"בד""ץ בית יוסף (Beit Yosef Rabbinical Court)","מסעדה בכתובת אבא אחימאיר 15, רמלה מוצגת עם תעודת כשרות של בד""ץ בית יוסף בכמה אתרי משלוח (mishlohim.co.il, rest.co.il) וגם באתר הרשמי של המסעדה",https://www.manchtost.co.il/,פתוח 24 שעות (כולל כניסת שבת),
5461,מאפיית פארין,Rehovot,Israel,"הרצל 192, רחובות, Israel",yes,official,0.95,Vaad Dati Rehovot (מועצה דתית רחובות),"מאפיית פארין בכתובת הרצל 192, רחובות רשומה ברישום העסקים הכשרים של מועצה דתית רחובות עם כשרות רגילה, דירוג חלבי/פרווה, ומשגיח: חיים עזרא",https://dat-rehovot.co.il/kosher-business/%D7%9E%D7%90%D7%A4%D7%99%D7%AA-%D7%A4%D7%90%D7%A8%D7%99%D7%9F/,פתוח 24 שעות (כולל כניסת שבת),פתוח 24 שעות בשבת
5538,טרי,Rehovot,Israel,"הרצל 194, רחובות, Israel",no,official,0.95,,המסעדה 'טרי בראסרי' בהרצל 194 רחובות מסומנת במפורש כ'לא כשר' במקורות רשמיים.,https://easy.co.il/en/page/26593560,פתוח עד 11:30 PM בערב שישי (אחרי 21:00),פתוח 10:30 AM–11:30 PM בשבת (חופף ל-08:00–16:00)
5567,הרצל street food,Rehovot,Israel,"הרצל 210, רחובות, Israel",unclear,directory,0.35,,"רישומים בספריות צד-שלישי מציינים כשרות, אך המיקום הספציפי לא מופיע בבסיס הנתונים הרשמי של מועצה דתית רחובות. לא ניתן לוודא תעודת כשרות רשמית בתוקף.",https://dat-rehovot.co.il/kosher-business/,פתוח עד 2:00 AM בערב שישי (אחרי 21:00),פתוח 10:00 AM–12:00 AM בשבת (חופף ל-08:00–16:00)
5610,שווארמה אקספרס,Rehovot,Israel,"ביל""ו 2, קניון רחובות, Israel",yes,official,0.9,Rehovot Religious Council (מועצה דתית רחובות),הרשימה הרשמית של מועצה דתית רחובות מאשרת כשרות רגילה לעסק זה בכתובת ביל״ו 2 קניון עופר רחובות עם מפקח יצחק סבג,https://dat-rehovot.co.il/kosher-business/%D7%A9%D7%95%D7%90%D7%A8%D7%9E%D7%94-%D7%90%D7%A7%D7%A1%D7%A4%D7%A8%D7%A1/,,פתוח 24 שעות בשבת
3386,גולדות,Rishon LeZion,Israel,"רוטשילד 83, ראשון לציון, Israel",unclear,directory,0.5,,רשימות מסעדות בSources מסימנות 'כשר' אך ללא אישור רשמי מגורם הכשרות ידוע. No official certification document found.,https://www.rest.co.il/rest/80217266/,פתוח עד 4:00 AM בערב שישי (אחרי 21:00),
3475,כל טעם,Rishon LeZion,Israel,"רוטשילד 64, ראשון לציון, Israel",unclear,directory,0.3,,"רשומה בספריות כשרות של צד שלישי, אך אין אישור רשמי מרבנות ראשון לציון או גוף כשרות מוכר. יתכן מידע יומנים.",https://www.rest.co.il/kosher-restaurants/rishon-lezion/bakery-and-confectionery/kosher/,פתוח עד 3:00 AM בערב שישי (אחרי 21:00),פתוח 10:00 AM–12:00 AM בשבת (חופף ל-08:00–16:00)
4375,שווארמה רוטשילד,Rishon LeZion,Israel,"רוטשילד 39, ראשון לציון, Israel",unclear,none,0,,"unparseable: I'll search for kosher certification information for this specific restaurant location in Rishon LeZion.
Let me search for more specific information a",,פתוח עד 11:00 PM בערב שישי (אחרי 21:00),
7182,"B-FRESH - ראשונים ראשל""צ",Rishon LeZion,Israel,"שדרות נים 2, ראשון לציון",yes,official,0.95,Rabbinate (Rishon LeZion),B-FRESH הרשמי מציין סניף זה בשדרות נים 2 כ'כשר'. אתר ההשקעות של B-FRESH מאשר תעודת כשרות לסניף זה בגובה הכתובת המדויקת.,https://b-fresh.org.il/branch/%D7%A2%D7%96%D7%A8%D7%99%D7%90%D7%9C%D7%99-%D7%A8%D7%90%D7%A9%D7%95%D7%A0%D7%99%D7%9D-%D7%A8%D7%90%D7%A9%D7%9C%D7%A6/,פתוח עד 10:00 PM בערב שישי (אחרי 21:00),
4067,מאפיית הכפר,Rosh HaAyin,Israel,"הרב שלום שבזי 26, ראש העין, Israel",yes,official,0.95,Badatz Beit Yosef,"מאפיית הכפר בכתובת 26 הרב שלום שבזי, ראש העין מוסמכת על ידי בד""ץ בית יוסף עם פקיח כשרות וסוג הכשרות של למהדרין חלבי ופרווה",https://hakfarbakery.co.il/%D7%A1%D7%A0%D7%99%D7%A4%D7%99%D7%9D/,,פתוח 24 שעות בשבת
216,חומוס הבן של הסורי,Tel Aviv,Israel,"Yigal Alon St 121, Tel Aviv-Yafo, Israel",unclear,directory,0.35,,"לא מופיע בדירוג הרשמי של המסעדות הכשרות בתל אביב בכתובת ספציפית זו. רק טבלות משלוח צד שלישי (כמו וולט) מסמנות כשר, אך זה לא אמין. דרוש אישור מ-הרבנות תל אביב או מקור רשמי",https://www.kosherintelaviv.com/directory,פתוח עד 3:00 AM בערב שישי (אחרי 21:00),
3313,מסי,Tel Aviv,Israel,"השרון 10, תל אביב, Israel",unclear,directory,0.4,,"ממסי בהשרון 10 רשומה בספרייה כמסעדה כשרה, אך לא אישרתי זאת דרך גוף קביעה רשמי. אפשרי שהמידע ישן או שהסמכות הכשרות אינן מעודכנות בבסיס הנתונים.",https://www.rest.co.il/restaurants/tel-aviv/south-tel-aviv/concept-restaurant/,פתוח עד 12:00 AM בערב שישי (אחרי 21:00),פתוח 12:00 AM–12:00 PM בשבת (חופף ל-08:00–16:00)
4049,פיתה בשר,Tel Aviv,Israel,"נחלת בנימין 75, תל אביב, Israel",unclear,directory,0.45,,"כתובת בבדיקה היא נחלת בנימין 75, אך אתר הרשמי רשום כ-73. מקורות אם כי משימות כשר לתיקיה רשמית מרובכת בדיקות רבות, אך אין אישור רשמי מרשות כשרות ידועה",https://www.pitabasar.co.il/branches,פתוח עד 5:00 AM בערב שישי (אחרי 21:00),
4295,מסעדת הלובי,Tel Aviv,Israel,"אליעזר פרי 10, תל אביב, Israel",unclear,directory,0.4,Badatz Beit Yosef or Rabbinate Tel Aviv (sources conflict),Directory listings show קשר for this address but conflicting hotel locations (Hilton vs Carlton). Cannot verify exact certification for THIS specific branch without official certifier confirmation.,https://wolt.com/en/isr/tel-aviv/restaurant/the-lobby,פתוח 24 שעות (כולל כניסת שבת),פתוח 24 שעות בשבת
4690,Miznon,Tel Aviv,Israel,"23 Ibn Gavirol St, Tel Aviv",no,directory,0.95,,"מיזנון בעיצומאן 1 הוא היחיד המוסמך ככשר בישראל, לא בכתובת גיברול 23",https://yeahthatskosher.com/2024/03/one-miznon-location-in-tel-aviv-is-now-kosher/,,פתוח 1:00 PM–12:00 AM בשבת (חופף ל-08:00–16:00)
4691,Meshek Barzilay,Tel Aviv,Israel,"6 Ahad Ha'am St, Tel Aviv",no,official,0.98,,"The Jerusalem Post (2019) explicitly states: 'Vegan, not certified kosher' for Meshek Barzilay at Ahad Ha'Am St. 6, Tel Aviv. Additionally, the Easy.co.il restaurant directory (specific to this location) lists it as 'Not Kosher.' The restaurant is a 100% vegan establishment with no kashrut supervision.",https://www.jpost.com/israel-news/culture/seasonal-vegan-gourmet-606344,פתוח עד 11:00 PM בערב שישי (אחרי 21:00),פתוח 10:00 AM–11:00 PM בשבת (חופף ל-08:00–16:00)
7020,Banana beach,Tel Aviv,Israel,"יוניצמן 21, תל אביב",no,directory,0.9,,"מאמרים בTripadvisor וstory על חוף בננה ציינו בשלוש פעמים 'לא מסומן כשר' או 'Not kosher certified'. מקור זה מזהה את המסעדה כלא מחזיקה בתעודת כשרות. מקור אחר (debbestfood.com) הצהיר בבירור שאף אחת מחוף תל אביב מסעדות לא כשרות. דברים צוינו שהמסעדה מנהלת בקזואט כשר לפסח בעבר, אך זה אינו מהווה הסמכה כשרה שוטפת.",https://www.tripadvisor.com/Restaurant_Review-g293984-d2199178-Reviews-Banana_Beach-Tel_Aviv_Tel_Aviv_District.html,פתוח עד 10:00 PM בערב שישי (אחרי 21:00),פתוח 7:00 AM–10:00 PM בשבת (חופף ל-08:00–16:00)
7083,"דלאל הקונדיטוריה, נוה צדק",Tel Aviv,Israel,"כל ישראל חברים 7, תל אביב",no,directory,0.85,,"HashulChan - מדריך מסעדות מוכר - מסווג את דלאל הקונדיטוריה בדיוק בכתובת כל ישראל חברים 7, תל אביב כ'לא כשר'. אין הוכחה של תעודת כשרות קבועה למקום.",https://www.hashulchan.co.il/restaurant/%D7%93%D7%9C%D7%90%D7%9C-%D7%94%D7%A7%D7%95%D7%A0%D7%93%D7%99%D7%98%D7%95%D7%A8%D7%99%D7%94/,,פתוח 9:00 AM–4:00 PM בשבת (חופף ל-08:00–16:00)
7238,"Jorno בייקרי ת""א",Tel Aviv,Israel,"ויינשל 6, תל אביב",no,directory,0.7,,מקור מ-2020 מציין שמוצרי ג'ורנו הם 'חלביים כשרים ללא פיקוח' - כלומר אין הסמכה רשמית מגופי כשרות מוכרים,https://debbestfood.com/israel-sufganiyot-guide-hanukah-2020/,,פתוח 7:00 AM–4:00 PM בשבת (חופף ל-08:00–16:00)
4058,ביג בורגר,Yehud,Israel,"צבי ישי 1, יהוד, Israel",yes,official,0.95,המועצה הדתית יהוד (Yehud Religious Council),"רשומה בתיקיית העסקים הכשרים של המועצה הדתית יהוד: ביג בורגר, צבי ישי 1, כשרות בשרי, סוג השגחה: כשר",https://ydat.org.il/directory-kashrut/,,פתוח 8:30 AM–12:00 PM בשבת (חופף ל-08:00–16:00)
6629,ארקפה יהוד,Yehud,Israel,"אלטלף 4, יהוד",no,directory,0.85,,"ביקורת של משתמש (אוגוסט 2023) במקום המדויק זה קובעת 'מקום לא כשר'. האתר הרשמי של ארקפה ובדיקות תיקיות לא מציגות הסמכה כשרות. סניפים אחרים של ארקפה מסומנים כ'כשר' במקומות שונים, אך לא זה.",https://zips.co.il/%D7%A2%D7%A1%D7%A7%D7%99%D7%9D/%D7%99%D7%94%D7%95%D7%93-%D7%9E%D7%95%D7%A0%D7%95%D7%A1%D7%95%D7%9F/%D7%91%D7%AA%D7%99-%D7%A7%D7%A4%D7%94/556/%D7%90%D7%A8%D7%A7%D7%A4%D7%94,,פתוח 7:00 AM–10:00 PM בשבת (חופף ל-08:00–16:00)
2437,דונסון,Zichron Yaakov,Israel,"חוחית 16, זכרון יעקב, Israel",yes,directory,0.75,Chelkas HaKashrus of Zichron Yaakov,"מולטיפל מקורות (Max, Rest.co.il) מציינים 'כשר למהדרין' לדונסון בכתובת חוחית 16, זכרון יעקב. Chelkas HaKashrus of Zichron Yaakov הוא הגוף ההכשרה המקומי המוכר בעיר.",https://www.max.co.il/benefits/bizplus/rest/dis_pizzadonson,פתוח 24 שעות (כולל כניסת שבת),
6698,משיגנע,Zichron Yaakov,Israel,"המייסדים 41, זיכרון יעקב",yes,directory,0.85,Unknown (not specified in sources),"פרטי כשרות לבית קפה משיגנע בהמייסדים 41 זיכרון יעקב מאת Passportnews ספטמבר 2024: 'כשר פרווה, יש תעודת כשרות'",https://passportnews.co.il/article/192160,,פתוח 8:30 AM–6:00 PM בשבת (חופף ל-08:00–16:00)
8353,Bona Pizza Romana,Rome,Italy,"Via del Portico d'Ottavia, 7, 00186 Roma RM, Italy, Rome, 00186, Italy",yes,directory,0.92,Rabbinate of Rome (Beth Din Rome Glatt),"מסעדת פיצה כשרה בעל תעודת הכשרות מרבנות רומא, בפיקוח Chalav Yisrael",https://easykoshertravel.com/kosher-restaurants-in-rome/,פתוח עד 9:30 PM בערב שישי (אחרי 21:00),פתוח 9:30 AM–9:30 PM בשבת (חופף ל-08:00–16:00)
8451,First Grill Marrakech,Marrakech,Morocco,"Av. du Président Kennedy,  Marrakech 40000, , Morocco",yes,directory,0.75,Casablanca Kashrut Commission (CCDC) / Beth Yocef,"מספר מקורות תיקייה רשמים את המסעדה בן כשר עם משגיח ופיקוח מקומי, אך אין רישום רשמי מקוון סלע של הגוף המפקח",https://www.alloj.com/en/restaurant-cacher/kosher-restaurant-marrakesh-first-grill-hotel-kenzi.html,פתוח 24 שעות (כולל כניסת שבת),פתוח 24 שעות בשבת
8327,Jewish Museum Cafe Amsterdam,Amsterdam,Netherlands,"Nieuwe Amstelstraat 1, Amsterdam, 1011 PL , Netherlands",no,official,0.95,,"המוזיאום קפה עצמו אין לו הסמכת כשרות. על אף שהמוצרים הם כשרים וחלקיים או פרווה, אין על המקום הסמכה רשמית של בדיקה. המזון מוכן תחת פיקוח ראביני אך ללא תעודה רשמית.",https://jck.nl/en/museumcafe,,פתוח 11:00 AM–5:00 PM בשבת (חופף ל-08:00–16:00)
